time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,7.552714741630189e-08,6.008230529736172e-07,10.007325124793612,0.0004240441911518289,6.283085542140654,0.0,8.391448424769222e-06,4.965731053789855e-05,0.24414989955877564,0.018385765580660855,-0.00521518983073132,0.0,481.2682994833922,480.8735122520121,479.16457231291025,480.559916957042
0.12000000000000001,4.6035048201180105e-06,2.1625946964501453e-05,10.029664672068016,0.0026413320248792616,6.2827423184566555,0.0,0.0001835631307362832,0.000876799502079149,0.5004241534946385,0.05979694096287746,-0.006750495760794498,0.0,483.36868781872573,483.2530928913603,483.2207740640695,486.33235982584364
0.18,2.856071691320422e-05,0.00015714805432392542,10.067099650406634,0.006280733864123533,6.282378658476322,0.0,0.0006624651628686401,0.004087431272420255,0.7472779378012697,0.0623223190686548,-0.004716427076462997,0.0,480.7928822403105,480.94704715883745,482.1212925601047,482.3143299472794
0.23999999999999996,8.74313684819951e-05,0.00055753033585528,10.116540088447879,0.009782911786272663,6.2817106748706095,0.0,0.0013467393169955288,0.009657444369107728,0.9006249640885033,0.04898583214146943,-0.028799158730100666,0.0,455.66053916048156,453.7315566187847,454.051642071834,452.9828548378273
0.3,0.00021101282879787436,0.0013828963259157805,10.176733977140003,0.012698605790853357,6.279932928522564,0.0,0.0029783196863787673,0.01819706022236508,1.1056579895281353,0.04780161615267408,-0.031342625377026506,0.0,470.49266480675084,470.29550847994597,469.4382101536729,469.34763778187335
0.36000000000000004,0.000459593055663195,0.0027316971240547686,10.244842104819265,0.015496199696618973,6.278140829249079,0.0,0.005483481168316227,0.027033992861765832,1.1645499782684525,0.044167176817211794,-0.027072189475384343,0.0,425.0109137527681,425.3763973495626,424.80850274090494,424.4981780541917
0.4200000000000001,0.0008987964494525119,0.004687167884745769,10.317897613989917,0.01837544857199802,6.277362056426975,0.0,0.00927026337087676,0.03843191550400911,1.2705160447832216,0.05470105981877741,0.006057910581518968,0.0,438.6770608717898,441.419241284717,439.8867534828739,440.7595096355824
0.48000000000000015,0.0015729953021383495,0.007384736713172388,10.397087730971695,0.021894669810601286,6.278288051427136,0.0,0.013132055230124909,0.05183196707528929,1.369034687223721,0.06557117442438372,0.029574741677833673,0.0,437.006848502025,438.96245872986924,437.7438682833806,438.64982526109344
0.5400000000000001,0.0024374983688916613,0.010874340417249459,10.47834446143407,0.02533638899034596,6.280155168199027,0.0,0.015533846721061968,0.06480264069515881,1.3395511471277077,0.030983568265115655,0.034039656065595426,0.0,395.8732998765917,396.2843581094308,396.8758063661982,393.6911617820708
0.6000000000000002,0.0034269689625053223,0.015317826532021017,10.562682227803514,0.026838056384672626,6.2820591250285425,0.0,0.01723690315133602,0.08349284112559557,1.4715420531989303,0.009142794674393936,0.02666641731614334,0.0,449.2953866477825,448.6976085559437,449.4669413591643,447.6936395944642
0.6600000000000003,0.004478591891910406,0.020892881849829646,10.65428819127474,0.02779081069894751,0.00046524543518344785,0.0,0.01765180533406991,0.10241846962424457,1.5818409331527747,0.02676406075594598,0.026237049817241682,0.0,442.3652991235181,442.3300995599047,441.6837066211452,443.13438853179974
0.7200000000000003,0.005520902794914608,0.027655355984016014,10.753514956280506,0.029538260581182918,0.0021905201840359823,0.0,0.016912581791233925,0.12317341200102849,1.7255056777865334,0.03346900061269187,0.03336542375194163,0.0,453.06994913444294,453.64287514111936,452.5185596688623,453.05815740590435
0.7800000000000004,0.006476812975487265,0.035721370572632784,10.861979116249843,0.031412381661276356,0.0036069117119739147,0.0,0.014737232259248178,0.14590244822670534,1.889700937442181,0.02634612535592777,-0.017306800449298918,0.0,462.37896445974087,458.3699691948274,459.47862371920723,458.9139313027687
0.8400000000000004,0.007285750365549741,0.045169878429893444,10.979602737036393,0.03312494583735681,0.0029493689114916677,0.0,0.012317385118781672,0.16921790279045257,2.030839284390284,0.032608482008140614,-0.0005918923835532249,0.0,453.1513889630288,454.49305695073235,452.56935699767365,453.0733028726953
0.9000000000000005,0.007956235782771963,0.056101894152862146,11.107055327318113,0.034613132259531554,0.0024966890973301403,0.0,0.010054264371451693,0.1953777877818248,2.2172287202245293,0.0007211128646280162,-0.027471222307619197,0.0,468.8416828060227,466.7488075220542,468.5091186512682,466.02347961716475
0.9600000000000005,0.00850930630178902,0.06861737422063734,11.245315465900573,0.03523481598630607,0.0004717187930172173,0.0,0.008584544253545824,0.22183479218778993,2.3910920620239824,0.024807592886043228,-0.05086209836094513,0.0,464.5967875892821,462.7587448865427,464.4072769374858,466.2925594964561
1.0200000000000005,0.00902607945667182,0.08263706291296556,11.391122398400407,0.03657052168176911,6.280778333625527,0.0,0.00893358248155722,0.24562115457454317,2.4689664001878335,0.016610776776665837,-0.04275936600066277,0.0,435.0981537989164,435.7745021089202,435.99942820667013,435.31411629638603
1.0800000000000005,0.00962651295627593,0.09819343041211513,11.543908200811487,0.03737750685332841,6.277973471850473,0.0,0.01137390889812458,0.2730107084705367,2.6235443196006445,0.006229823682390226,-0.05623461073922701,0.0,460.21632647322275,459.1472552388625,460.3257047719718,459.5034057262127
1.1400000000000006,0.01042958108172884,0.11534928984400888,11.704361436041689,0.03851223071998522,6.274846111273456,0.0,0.015724822173909914,0.2989256935553576,2.724653091327016,0.03659285784974435,-0.0449607870607159,0.0,443.38837757846716,444.31180210441266,442.98576388303695,445.47547624232305
